depth_m;temp_C;DO_mgL
2.5235;24.8763;9.15
2.5415;24.8752;9.1473
2.5684;24.8746;9.1476
2.5774;24.8746;9.3452
2.6044;24.874;9.2775
2.6223;24.8746;9.1884
2.6493;24.8763;9.1204
2.6942;24.8746;9.1355
2.7211;24.8769;9.1267
2.748;24.8746;9.1956
2.757;24.8752;9.194
2.775;24.8746;9.1867
2.8109;24.8757;9.3126
2.8019;24.874;9.278
2.8289;24.8746;9.1736
2.8648;24.8763;9.1312
2.8827;24.8763;9.2707
2.9097;24.8757;9.3133
2.9097;24.8757;9.319
2.9366;24.8752;9.2823
2.9456;24.8746;9.2376
2.9456;24.8746;9.2797
2.9636;24.874;9.3315
2.9725;24.8728;9.3885
2.9725;24.8746;9.3314
2.9995;24.8734;9.2116
3.0085;24.874;9.2862
3.0444;24.874;9.215
3.0713;24.874;9.1611
3.0983;24.8746;9.1679
3.1252;24.8734;9.3021
3.1342;24.8728;9.3784
3.1521;24.8722;9.3543
3.1611;24.8734;9.5279
3.1521;24.871;9.555
3.1881;24.8716;9.6291
3.1611;24.871;9.971
3.1611;24.8722;9.8929
3.1701;24.871;9.8343
3.1881;24.871;9.7215
3.206;24.8728;9.4212
3.224;24.8716;9.2928
3.206;24.8716;9.4412
3.224;24.8728;9.273
3.2779;24.871;9.1747
3.2958;24.8716;9.2663
3.3138;24.8699;9.4168
3.3317;24.8693;9.3822
3.3317;24.871;9.4536
3.3676;24.8704;9.292
3.3856;24.8687;9.302
3.3766;24.8663;9.4661
3.3676;24.864;9.5731
3.3946;24.8657;9.5411
3.4215;24.8663;9.4003
3.4395;24.8675;9.2796
3.4574;24.8693;9.262
3.4664;24.8651;9.3132
3.5023;24.8569;9.2951
3.5293;24.8551;9.2855
3.5113;24.8604;9.3271
3.5293;24.8575;9.4733
3.5383;24.8616;9.6475
3.5203;24.861;9.7324
3.5203;24.864;9.8882
3.5293;24.8645;10.0459
3.5113;24.8651;10.3001
3.5203;24.8663;10.2447
3.5383;24.864;9.8027
3.5472;24.8539;9.6004
3.5742;24.8451;9.4399
3.5652;24.8504;9.4766
3.5832;24.8463;9.4357
3.6011;24.8504;9.3595
3.6101;24.8469;9.3406
3.628;24.8433;9.2764
3.664;24.8363;9.3073
3.6819;24.831;9.351
3.7089;24.8292;9.4471
3.7178;24.8304;9.4991
3.7089;24.828;9.3904
3.7178;24.8292;9.4546
3.7448;24.8251;9.287
3.7538;24.7991;9.3353
3.7627;24.7726;9.4794
3.7717;24.7573;9.545
3.8166;24.7154;9.3592
3.8436;24.6807;9.3569
3.8525;24.6435;9.3214
3.8705;24.6076;9.4163
3.8795;24.5528;9.4259
3.8974;24.4785;9.3549
3.9154;24.3918;9.4227
3.9423;24.3883;9.842
3.9423;24.3936;9.9818
3.9693;24.3889;9.7653
3.9872;24.3359;9.5927
4.0052;24.2852;9.5934
4.0052;24.2368;9.6361
4.0142;24.2268;9.9506
4.0231;24.2303;10.0701
4.0321;24.2303;9.8428
4.0591;24.2156;9.7337
4.0411;24.1973;9.8978
4.0591;24.2003;10.1727
4.0501;24.1932;10.0463
4.077;24.1749;9.9962
4.095;24.1602;9.9438
4.1309;24.1431;9.9227
4.1309;24.1219;9.9547
4.1668;24.103;10.0631
4.1848;24.08;10.1505
4.1848;24.063;10.3501
4.1848;24.0482;10.4394
4.1937;24.0406;10.5052
4.2207;24.0146;10.4571
4.2207;23.9969;10.5189
4.2566;23.961;10.4782
4.2745;23.9451;10.6849
4.2656;23.9168;10.6377
4.2745;23.905;10.7675
4.3105;23.8643;10.5789
4.3284;23.8101;10.6884
4.3464;23.8018;10.9779
4.3643;23.7818;11.1103
4.3284;23.7706;11.2202
4.3284;23.7765;11.28
4.3284;23.7688;11.2251
4.3464;23.7641;11.2327
4.3374;23.7612;11.3154
4.3464;23.7517;11.3717
4.3554;23.7423;11.1853
4.4003;23.7022;11.0244
4.4362;23.6103;11.0225
4.4631;23.5572;11.0612
4.499;23.5007;11.1042
4.508;23.4677;11.1454
4.5708;23.3952;11.1702
4.5978;23.3286;11.2197
4.5978;23.2955;11.3734
4.5978;23.2891;11.6242
4.6337;23.2572;11.5321
4.6427;23.2001;11.3367
4.6966;23.1659;11.3157
4.7235;23.1417;11.3529
4.7414;23.1175;11.3024
4.7953;23.0916;11.3077
4.8223;23.0509;11.34
4.8492;23.0315;11.4635
4.8402;23.0291;11.7892
4.8223;23.0274;12.2415
4.8133;23.0227;12.303
4.8223;23.0179;12.0511
4.8492;23.0079;11.9466
4.8133;23.002;12.2164
4.8133;23.0014;12.5047
4.8223;22.9979;12.3203
4.8402;22.9944;12.0122
4.8312;22.9843;11.9761
4.8402;22.9755;11.8717
4.8671;22.9502;11.6395
4.8941;22.9089;11.6192
4.921;22.8164;11.6127
4.948;22.7557;11.7145
4.93;22.7533;11.9083
4.939;22.7503;12.0191
4.948;22.7056;11.9396
4.9749;22.6278;11.8021
4.9749;22.5806;11.8659
4.9839;22.5482;12.0204
4.9928;22.5441;12.0864
5.0377;22.5276;11.8907
5.0647;22.4887;11.8753
5.0737;22.4527;11.9259
5.1006;22.3967;11.8867
5.1006;22.3885;12.19
5.1006;22.4162;12.5739
5.1006;22.4209;12.4616
5.1365;22.3802;12.1035
5.1724;22.3248;12.0204
5.1904;22.2765;12.1771
5.1993;22.2311;12.3554
5.2083;22.178;12.2338
5.2173;22.115;12.2787
5.2263;22.0484;12.155
5.2802;21.9653;12.1481
5.2981;21.8951;12.1746
5.325;21.8285;12.2121
5.334;21.7825;12.361
5.352;21.7596;12.3827
5.361;21.7236;12.4662
5.3969;21.6523;12.3242
5.4058;21.6258;12.5095
5.4238;21.6269;12.722
5.4418;21.5898;12.5472
5.4597;21.5315;12.4864
5.4956;21.4501;12.592
5.4867;21.4348;12.7684
5.5315;21.347;12.6303
5.5226;21.3057;12.8356
5.5315;21.2591;13.0418
5.5226;21.2367;13.136
5.5226;21.2114;13.2136
5.5136;21.202;13.4991
5.5136;21.2202;14.0532
5.4777;21.2615;14.5232
5.4777;21.2774;14.1468
5.4777;21.3045;14.0845
5.4507;21.3098;14.0044
5.4777;21.3175;13.8645
5.4777;21.3116;13.4749
5.4956;21.298;13.2564
5.5046;21.2715;13.2489
5.5136;21.2645;13.4012
5.5136;21.2639;13.5161
5.5226;21.2544;13.5104
5.5226;21.2397;13.5874
5.5226;21.2367;13.9659
5.5136;21.2804;14.392
5.4956;21.3039;14.3054
5.5046;21.3134;13.9132
5.5046;21.2945;13.597
5.5136;21.2574;13.463
5.4956;21.2432;13.7182
5.5046;21.2863;14.2066
5.4777;21.3028;14.2213
5.4956;21.2863;13.7993
5.4956;21.2715;13.5324
5.5226;21.2656;13.478
5.5405;21.2462;13.3827
5.5495;21.1802;13.3093
5.5675;21.1525;13.3346
5.5944;21.0876;13.3
5.6213;21.0346;13.3388
5.6213;21.0033;13.3433
5.6662;20.8937;13.3502
5.6842;20.8919;13.443
5.6842;20.8383;13.5008
5.7021;20.7758;13.4163
5.7291;20.7263;13.4441
5.7291;20.645;13.4395
5.765;20.6167;13.498
5.774;20.5253;13.4541
5.8099;20.4245;13.4816
5.8458;20.3414;13.4539
5.8548;20.2595;13.552
5.8637;20.1829;13.6506
5.8817;20.0915;13.595
5.9176;19.9937;13.5667
5.9356;19.8581;13.5822
5.9625;19.6507;13.6055
6.0253;19.442;13.6602
6.0523;19.307;13.7409
6.0792;19.2222;13.9011
6.1061;19.089;13.8271
6.1241;18.951;13.8605
6.169;18.8155;13.8509
6.2049;18.6781;13.8757
6.2408;18.5603;13.9933
6.2408;18.5673;14.1861
6.2498;18.4713;14.1227
6.2408;18.4176;14.1598
6.2498;18.3599;14.1712
6.2498;18.3516;14.266
6.2857;18.2626;14.108
6.3485;18.1094;13.9719
6.3665;18.0392;14.1136
6.3575;18.0875;14.2933
6.3755;18.0828;14.3441
6.3844;18.0622;14.4338
6.3665;18.0204;14.5268
6.3934;18.0492;14.5348
6.3934;18.1129;14.3307
6.4114;18.0033;14.0779
6.4473;17.8795;14.1113
6.4563;17.8659;14.4319
6.4563;17.837;14.6258
6.4563;17.7716;14.5069
6.4652;17.7215;14.3336
6.4473;17.6744;14.2966
6.4563;17.6467;14.4422
6.4652;17.6172;14.1992
6.4832;17.5913;13.9989
6.5191;17.5034;13.8084
6.5101;17.3974;13.816
6.5371;17.2753;13.8477
6.546;17.2111;13.9068
6.564;17.141;13.8923
6.5909;16.9854;13.846
6.6268;16.8763;13.8748
6.6358;16.8156;13.9438
6.6717;16.7909;13.9989
6.6717;16.8079;13.9614
6.6628;16.8345;13.9803
6.6897;16.6954;13.6382
6.7256;16.5362;13.6717
6.7435;16.5356;13.7075
6.7435;16.5115;13.8006
6.7525;16.4755;13.8248
6.7525;16.4732;13.9677
6.7705;16.4402;13.793
6.7795;16.4042;13.6242
6.8064;16.3099;13.4648
6.8154;16.1885;13.4407
6.8154;16.1902;13.415
6.8333;16.1384;13.3448
6.8423;16.1219;13.3441
6.8603;16.0046;13.1852
6.8692;15.9268;13.2035
6.8872;15.9392;13.27
6.9141;15.8914;13.4059
6.9051;15.8148;13.4193
6.9321;15.734;12.9921
6.968;15.556;12.8914
6.9949;15.4441;12.9063
6.9949;15.3651;12.8603
7.0129;15.3592;13.0521
7.0398;15.3109;12.9253
7.0308;15.246;12.795
7.0578;15.1995;12.7128
7.0847;15.18;12.6911
7.0847;15.1771;12.7609
7.1026;15.1794;12.6048
7.1296;15.1217;12.3389
7.1655;15.0651;12.2408
7.1655;15.0161;12.2604
7.1655;14.9672;12.3844
7.2014;14.9419;12.2699
7.2283;14.8653;11.9998
7.2553;14.8057;11.9769
7.3001;14.7698;11.9539
7.3001;14.7562;12.2355
7.3001;14.7374;12.1711
7.336;14.7262;11.8894
7.372;14.6772;11.6863
7.4348;14.6065;11.6225
7.4527;14.5623;11.7192
7.4707;14.5364;11.7271
7.4976;14.5122;11.5919
7.5425;14.4651;11.577
7.5425;14.4297;11.6745
7.5425;14.4049;11.7394
7.5335;14.3914;11.8033
7.5246;14.3819;11.8262
7.5335;14.3737;11.8766
7.5515;14.3654;11.8036
7.5694;14.356;11.7391
7.5874;14.3501;11.6664
7.6143;14.343;11.4835
7.6143;14.3265;11.3632
7.6233;14.3065;11.1889
7.6413;14.2888;11.0944
7.6772;14.2753;11.1522
7.6951;14.2682;11.175
7.6772;14.2576;11.1412
7.7041;14.2417;11.059
7.7221;14.234;10.9996
7.7221;14.2193;10.9124
7.749;14.2051;10.8253
7.7669;14.1845;10.7667
7.758;14.1668;10.731
7.758;14.1521;10.8475
7.7849;14.1462;10.8053
7.7939;14.1238;10.9663
7.8028;14.112;10.8475
7.8208;14.089;10.7223
7.8567;14.0707;10.5498
7.8747;14.0536;10.4652
7.9016;14.0383;10.4379
7.9285;14.0035;10.3403
7.9465;13.9753;10.4105
7.9465;13.9564;10.3791
7.9824;13.9428;10.4207
8.0003;13.9269;10.3704
8.0273;13.9169;10.3662
8.0183;13.8998;10.3503
8.0452;13.8774;10.2298
8.0901;13.8468;10.1851
8.0811;13.8356;10.3489
8.0542;13.822;10.4213
8.0721;13.8102;10.261
8.1081;13.7731;10.0224
8.1081;13.7466;10.0119
8.1619;13.7165;10.0043
8.2068;13.6163;9.8025
8.2607;13.5998;9.885
8.2696;13.5721;9.9999
8.2786;13.5568;10.0494
8.2786;13.5196;9.9804
8.3145;13.4896;9.9612
8.3504;13.4477;9.8109
8.3504;13.4389;9.8652
