depth_m;temp_C;DO_mgL
0;15.7635;12.1268
0.0169;15.7646;12.1285
0.0253;15.7646;12.112
0.0253;15.7646;12.1332
0.0169;15.764;12.1392
0.0253;15.7635;12.115
0.0338;15.7635;12.1197
0.0338;15.764;12.1028
0.0338;15.7629;12.1177
0.0422;15.7623;12.1261
0.059;15.7617;12.1041
0.0675;15.7617;12.1106
0.0675;15.7611;12.1031
0.059;15.7611;12.1072
0.0759;15.7605;12.0978
0.0675;15.7611;12.1093
0.0675;15.7611;12.0993
0.0759;15.7611;12.0934
0.0675;15.7605;12.0906
0.0759;15.7611;12.0922
0.0759;15.7605;12.1064
0.0759;15.7605;12.1022
0.0843;15.7623;12.0956
0.0843;15.7611;12.1014
0.0928;15.7605;12.1054
0.0759;15.7617;12.1041
0.0843;15.7617;12.107
0.0928;15.7629;12.0972
0.0928;15.7835;12.0768
0.0928;15.7835;12.0667
0.1096;15.7835;12.0466
0.1265;15.7847;12.0497
0.1181;15.7835;12.0613
0.1265;15.7835;12.0597
0.1265;15.7823;12.0527
0.1181;15.7835;12.0694
0.1181;15.7835;12.0519
0.1181;15.7835;12.0451
0.1265;15.7829;12.0484
0.1181;15.7829;12.0556
0.1265;15.7835;12.0553
0.1265;15.7841;12.0604
0.1181;15.7847;12.0589
0.1349;15.7841;12.0606
0.1434;15.7841;12.044
0.1265;15.7847;12.0417
0.1434;15.7835;12.0583
0.1265;15.7841;12.0521
0.1434;15.7835;12.0578
0.1434;15.7847;12.0465
0.1265;15.7841;12.0523
0.1434;15.7847;12.0677
0.1349;15.7841;12.047
0.1434;15.7841;12.0478
0.1434;15.7841;12.0591
0.1181;15.7847;12.0457
0.1265;15.7817;12.0565
0.1434;15.7782;12.0434
0.1434;15.7794;12.0435
0.1349;15.7794;12.065
0.1349;15.7805;12.0426
0.1265;15.78;12.0609
0.1096;15.7794;12.0767
0.1181;15.7788;12.0694
0.1434;15.7805;12.0391
0.1349;15.7817;12.0575
0.1349;15.7823;12.0556
0.1602;15.7841;12.0614
0.1349;15.7841;12.0656
0.1434;15.7841;12.0572
0.1265;15.7841;12.0703
0.1265;15.7841;12.0578
0.1181;15.7841;12.0544
0.1265;15.7841;12.0734
0.1265;15.7829;12.0803
0.1265;15.7811;12.0728
0.1349;15.7794;12.0582
0.1349;15.7776;12.07
0.1349;15.7758;12.075
0.1434;15.7723;12.0584
0.1181;15.7741;12.0519
0.1096;15.7752;12.0729
0.1096;15.7729;12.0454
0.1265;15.7717;12.0529
0.1349;15.7705;12.0617
0.1434;15.7717;12.052
0.1349;15.7764;12.043
0.1181;15.78;12.0651
0.1181;15.7829;12.0381
0.1181;15.7829;12.0532
0.1096;15.7835;12.0685
0.1012;15.7823;12.0739
0.1096;15.7823;12.0773
0.1181;15.7817;12.0664
0.1265;15.7829;12.0685
0.1181;15.7823;12.0706
0.1181;15.7829;12.0838
0.1349;15.7823;12.0549
0.1181;15.7817;12.0631
0.1181;15.78;12.0843
0.1181;15.7776;12.0569
0.1181;15.7788;12.0706
0.1265;15.7776;12.0771
0.1265;15.7758;12.0702
0.1349;15.7752;12.0768
0.1265;15.7764;12.0566
0.1349;15.7788;12.0669
0.1265;15.7794;12.0635
0.1265;15.7805;12.0734
0.1181;15.78;12.0719
0.1265;15.78;12.054
0.1349;15.7811;12.0442
0.1349;15.7823;12.0505
0.1181;15.7829;12.0593
0.1181;15.7835;12.0513
0.1181;15.7841;12.0514
0.1181;15.7835;12.06
0.1096;15.7841;12.0685
0.1096;15.7841;12.0573
0.1012;15.7835;12.0645
0.1096;15.7835;12.0629
0.1012;15.7835;12.0682
0.1181;15.7829;12.0513
0.1096;15.7823;12.0691
0.0928;15.7835;12.0667
0.0928;15.7835;12.0654
0.1012;15.7835;12.0639
0.0928;15.7841;12.0742
0.0928;15.7811;12.0586
0.1096;15.7776;12.0642
0.1012;15.7782;12.0658
0.1096;15.7805;12.0579
0.1434;15.7817;12.0583
0.1265;15.7829;12.0465
0.1265;15.7829;12.0391
0.1096;15.7841;12.0529
0.1181;15.7847;12.0625
0.1265;15.7847;12.0504
0.1349;15.7847;12.0487
0.1349;15.7841;12.0531
0.1265;15.7853;12.0579
0.1181;15.7847;12.0614
0.1265;15.7847;12.0429
0.1096;15.7847;12.0578
0.1265;15.7853;12.0585
0.1096;15.7853;12.0611
0.1096;15.7841;12.0598
0.0928;15.7847;12.0579
0.1096;15.7841;12.0548
0.1096;15.7841;12.0461
0.1096;15.7847;12.0585
0.1096;15.7847;12.0366
0.1181;15.7835;12.045
0.1012;15.7847;12.0614
0.0928;15.7853;12.0605
0.1012;15.7853;12.0745
0.0928;15.7853;12.053
0.1181;15.7847;12.0463
0.1181;15.7847;12.0588
0.1265;15.7847;12.031
0.1265;15.7841;12.0454
0.1265;15.7841;12.0435
0.1181;15.7841;12.0507
0.1265;15.7835;12.0422
0.1434;15.7829;12.0366
0.1349;15.7835;12.0476
0.1434;15.7829;12.0378
0.1434;15.7829;12.0328
0.1602;15.7829;12.0427
0.1434;15.7835;12.0471
0.1349;15.7835;12.0407
0.1434;15.7847;12.0352
0.1434;15.7841;12.0315
0.1518;15.7841;12.0311
0.1434;15.7829;12.0539
0.1434;15.7829;12.0253
0.1602;15.7823;12.0321
0.1518;15.7829;12.025
0.1518;15.78;12.0498
0.1349;15.7764;12.0499
0.1349;15.7729;12.0443
0.1434;15.7711;12.0252
0.1602;15.7723;12.0451
0.1602;15.7735;12.0363
0.1434;15.7758;12.0333
0.1518;15.7794;12.0454
0.1602;15.7811;12.0221
0.1771;15.7817;12.0369
0.1771;15.7811;12.0363
0.1602;15.7823;12.0252
0.1602;15.7823;12.0395
0.1518;15.7829;12.0324
0.1602;15.7823;12.0308
0.1602;15.7817;12.0339
0.1518;15.7817;12.0205
0.1518;15.7817;12.0361
0.1687;15.7823;12.0236
0.1855;15.7817;12.0303
0.1771;15.7811;12.0226
0.1687;15.78;12.028
0.1602;15.7776;12.0359
0.1687;15.7794;12.0219
0.1771;15.7782;12.0283
0.1518;15.7823;12.0298
0.1855;15.7835;12.0167
0.1771;15.7817;12.0157
0.1687;15.7788;12.0311
0.1602;15.7758;12.0332
0.1687;15.7758;12.0373
0.1771;15.7764;12.032
0.1687;15.777;12.0266
0.1602;15.7782;12.0276
0.1518;15.7782;12.0405
0.1434;15.7764;12.0384
0.1602;15.777;12.0363
0.1602;15.777;12.0338
0.1602;15.7782;12.0395
0.1518;15.7788;12.0454
0.1518;15.78;12.0237
0.1687;15.7782;12.021
0.1771;15.7782;12.0275
0.1771;15.78;12.0331
0.1602;15.7805;12.0346
0.1602;15.7788;12.0507
0.1687;15.78;12.0417
0.1518;15.7805;12.0454
0.1602;15.7811;12.032
0.1602;15.7811;12.0307
0.1687;15.78;12.0272
0.1518;15.7782;12.0355
0.1602;15.7794;12.0315
0.1518;15.7758;12.0324
0.1518;15.7717;12.0373
0.1602;15.7723;12.0333
