time;cyanobacteria_relBio;green.algae_relBio;Chrysophyta_relBio;Diatoms_relBio;Dinoflagellates_relBio;Gymnodinium_helveticum_relBio;Cryptophyceae_relBio;Ciliata_relBio;Rotifera_relBio
winter_2019;0.006862891;13.81755105;5.285380626;44.70809615;2.40080823;3.018478333;10.08065637;19.00523395;1.676932407
spring_2019;0.385434757;9.053196971;33.68953149;19.83064793;1.096054832;1.016958091;10.64359336;20.32974554;3.954837021
summer_2019;20.2548285;10.29565018;6.216266362;8.134291678;9.264301502;0.240007811;10.0014956;26.47286155;9.120296816
autumn_2019;49.93347398;5.324134375;4.941805682;4.968669036;3.215051463;1.705669408;9.673293164;14.5523382;5.685564692
winter_2020;1.667184382;4.272567876;24.90718142;24.84137494;0.193574263;2.111719233;15.19188476;23.29498107;3.519532054
2019_2020;16.56089915;8.741628228;14.48482148;17.95130742;3.872436995;1.401517148;10.73603955;20.92471166;5.32663838
