time;cyanobacteria_relBio;green.algae_relBio;Chrysophyta_relBio;Diatoms_relBio;Dinoflagellates_relBio;Cryptophyceae_relBio
winter_2019;0.00899469;18.10965635;6.927162889;58.59564077;3.14656424;13.21198106
spring_2019;0.515987559;12.11965689;45.10070461;26.54759965;1.467305807;14.2487455
summer_2019;31.56588427;16.04512731;9.6876626;12.67678518;14.43783486;15.58670579
autumn_2019;63.97099566;6.820878859;6.331068213;6.365483513;4.118881119;12.39269263
winter_2020;2.345709869;6.011455446;35.04412704;34.95153805;0.272356833;21.37481277
2019_2020;22.89088524;12.08289519;20.02127923;24.81274201;5.352578388;14.83961994
