depth_m;temp_C;DO_mgL
0;18.2673;8.7638
0.0898;23.6138;8.3534
0.1707;23.6286;8.3402
0.1976;23.5967;8.2236
0.1886;23.6126;8.1275
0.2246;23.6073;8.1333
0.2246;23.5979;8.1543
0.2066;23.625;8.201
0.2156;23.6115;8.2497
0.2156;23.6433;8.3009
0.2156;23.6586;8.3605
0.2156;23.6545;8.4284
0.2066;23.6415;8.4862
0.2336;23.6462;8.5289
0.2425;23.6345;8.5741
0.2336;23.6356;8.6164
0.2246;23.6238;8.6566
0.2336;23.6162;8.689
0.2425;23.6321;8.7127
0.2425;23.6339;8.7354
0.2425;23.6109;8.7651
0.2515;23.5849;8.7944
0.2425;23.569;8.8166
0.2515;23.5631;8.8336
0.2425;23.5667;8.851
0.2336;23.5879;8.8624
0.2156;23.5914;8.8737
0.2336;23.6003;8.8828
0.2336;23.6073;8.8923
0.2515;23.5985;8.9046
0.2605;23.5938;8.9156
0.2515;23.5897;8.9251
0.2425;23.5985;8.9312
0.2336;23.6138;8.9347
0.2336;23.6427;8.9357
0.2336;23.6616;8.9386
0.2515;23.6468;8.9489
0.2336;23.6439;8.9572
0.2336;23.6421;8.9641
0.2246;23.6421;8.9692
0.2156;23.6197;8.977
0.2066;23.6115;8.9827
0.2246;23.6103;8.9852
0.2066;23.6097;8.9894
0.2246;23.6097;8.9947
0.2605;23.6073;8.9999
0.2425;23.6038;9.0053
0.2515;23.6026;9.0098
0.2515;23.6009;9.0152
0.2605;23.6038;9.0205
0.2336;23.6032;9.0267
0.2336;23.6038;9.0321
0.2515;23.6062;9.0366
0.2336;23.6126;9.0395
0.2156;23.6091;9.0442
0.2156;23.6056;9.0483
0.2066;23.5985;9.0526
0.2156;23.5908;9.0556
0.2246;23.5891;9.0547
0.2336;23.5791;9.0577
0.2246;23.5673;9.063
0.2425;23.5561;9.0677
0.2336;23.5514;9.0703
0.2156;23.5496;9.068
0.2246;23.5472;9.0674
0.1976;23.549;9.0689
0.2066;23.5702;9.0691
0.2066;23.5914;9.0695
0.1976;23.5844;9.0717
0.2156;23.5849;9.0744
0.1886;23.5991;9.0796
0.1976;23.6221;9.0799
0.2246;23.6203;9.0782
0.2156;23.6115;9.0779
0.2156;23.6238;9.0773
0.2066;23.6451;9.0752
0.2156;23.6315;9.0783
0.2246;23.628;9.0822
0.2066;23.5897;9.0949
0.2066;23.5537;9.1046
0.2066;23.5419;9.1079
0.2246;23.5496;9.1091
0.2156;23.5661;9.1095
0.2156;23.572;9.1128
0.2246;23.5938;9.1144
0.2156;23.6345;9.1145
0.2156;23.6686;9.1187
0.2066;23.6881;9.1298
0.1886;23.6969;9.1407
0.1976;23.6993;9.1413
0.2066;23.6975;9.1393
0.2336;23.694;9.1429
0.2066;23.6692;9.1561
0.1976;23.6445;9.176
0.1886;23.6197;9.1932
0.1976;23.638;9.1979
0.1976;23.6492;9.1934
0.2246;23.6356;9.1963
0.2336;23.6297;9.2031
0.2156;23.5826;9.2232
0.2156;23.5449;9.2511
0.2246;23.5608;9.2582
0.2425;23.5761;9.2487
0.2425;23.5855;9.2468
0.2336;23.5885;9.2562
0.2246;23.5684;9.2805
0.1976;23.5631;9.2903
0.2066;23.569;9.2824
0.2246;23.582;9.2793
0.2066;23.5849;9.2867
0.1976;23.5785;9.2944
0.1976;23.5596;9.301
0.2156;23.5396;9.3045
0.2336;23.5319;9.3051
0.2156;23.5313;9.307
0.2336;23.5343;9.3118
0.2156;23.5508;9.3127
0.2156;23.5561;9.3103
0.2066;23.5596;9.3043
0.2515;23.5584;9.3119
0.3144;23.559;9.3941
0.3234;23.5637;9.3644
0.3323;23.5667;9.3335
0.3323;23.5679;9.3209
0.3234;23.5649;9.3161
0.3234;23.5614;9.3144
0.3234;23.5625;9.3132
0.3593;23.5625;9.3137
0.3413;23.569;9.3158
0.3413;23.569;9.3206
0.3234;23.5661;9.327
0.3323;23.5655;9.3339
0.3144;23.5625;9.3416
0.3234;23.5643;9.3478
0.3234;23.562;9.3546
0.3144;23.5555;9.3633
0.3144;23.5537;9.368
0.3054;23.5496;9.372
0.3054;23.5478;9.3731
0.3054;23.5466;9.3743
0.3234;23.5443;9.3788
0.3234;23.5455;9.3824
0.3054;23.5496;9.3857
0.3144;23.5543;9.3846
0.3234;23.5572;9.382
0.3234;23.5543;9.3866
0.3144;23.5555;9.3869
0.2964;23.559;9.3873
0.3054;23.562;9.3875
0.3054;23.5614;9.3843
0.3054;23.5584;9.3846
0.3054;23.5614;9.3866
0.3144;23.562;9.3898
0.2964;23.5625;9.3925
0.2964;23.5637;9.3908
0.3054;23.5614;9.3907
0.3144;23.5679;9.3918
0.3144;23.5696;9.394
0.3234;23.5679;9.3964
0.3234;23.5726;9.3963
0.3413;23.5714;9.3947
0.3413;23.5743;9.3922
0.3503;23.5732;9.3916
0.3323;23.5749;9.3911
0.3323;23.5732;9.3904
0.3144;23.5732;9.3873
0.3413;23.5761;9.3845
0.3323;23.5779;9.3824
0.3234;23.5761;9.3802
0.3144;23.5749;9.3766
0.3323;23.5708;9.3728
0.3234;23.5708;9.3685
0.3144;23.5696;9.3644
0.3144;23.5726;9.3608
0.3234;23.5702;9.3587
0.3054;23.5702;9.3559
0.3054;23.5667;9.3497
0.3323;23.5614;9.3448
0.3503;23.5578;9.3411
0.3503;23.5578;9.3393
0.3234;23.5572;9.3397
0.3054;23.562;9.3351
0.3144;23.5696;9.3284
0.3413;23.5755;9.3246
0.3503;23.5779;9.3234
0.3593;23.5684;9.3246
0.3503;23.5584;9.3273
0.3503;23.559;9.3303
0.3413;23.5679;9.334
0.3503;23.5726;9.3395
0.3503;23.5714;9.3466
0.3683;23.5737;9.352
0.3773;23.569;9.3582
0.3593;23.5631;9.3643
0.3503;23.562;9.3695
0.3593;23.5625;9.3753
0.3503;23.569;9.3802
0.3862;23.569;9.3863
0.3773;23.5702;9.3929
0.3773;23.5702;9.4
0.3683;23.572;9.4048
0.3503;23.5679;9.4088
0.3413;23.5679;9.4159
0.3144;23.5696;9.4265
0.3234;23.5696;9.4298
0.3054;23.569;9.423
0.3144;23.569;9.419
0.3323;23.569;9.4215
0.3413;23.5673;9.4282
0.3503;23.5661;9.4322
0.3683;23.5667;9.4293
0.3683;23.5679;9.4275
0.3593;23.5673;9.4304
0.3593;23.5673;9.436
0.3503;23.5673;9.4393
0.3503;23.5667;9.4392
0.3593;23.5661;9.4398
0.3593;23.5667;9.4407
0.3503;23.5661;9.4405
0.3593;23.5667;9.4379
0.3593;23.5655;9.4368
0.3323;23.5673;9.4358
0.3323;23.5643;9.436
0.3234;23.5679;9.4356
0.3234;23.5673;9.4368
0.3144;23.5661;9.4339
0.3234;23.569;9.4266
0.3234;23.5696;9.4219
0.3144;23.5684;9.4206
0.3144;23.5708;9.4197
0.3144;23.5714;9.415
0.3054;23.5944;9.4056
0.3234;23.5861;9.4065
0.3323;23.5914;9.4086
0.3503;23.5891;9.3982
0.3683;23.5755;9.4049
0.4222;23.5637;9.4235
0.4311;23.5596;9.4224
0.4222;23.5567;9.4121
0.4671;23.5508;9.4336
0.485;23.5419;9.495
0.503;23.5402;9.5045
0.5389;23.5354;9.5124
0.5659;23.5284;9.5411
0.6108;23.5195;9.5752
0.6108;23.5183;9.5528
0.6108;23.5154;9.5627
0.6377;23.4954;9.611
0.6736;23.4842;9.6219
0.6826;23.4706;9.6447
0.7185;23.4624;9.6638
0.7275;23.4529;9.6756
0.7455;23.4529;9.6525
0.7545;23.4535;9.6334
0.7724;23.4529;9.6353
0.7904;23.4529;9.6348
0.8173;23.447;9.6468
0.8533;23.4411;9.6621
0.8622;23.4382;9.6651
0.8712;23.4352;9.6542
0.8802;23.4293;9.6685
0.9071;23.4217;9.6872
0.961;23.4164;9.7019
0.961;23.414;9.6851
0.979;23.414;9.6813
0.979;23.4117;9.6835
0.9969;23.4128;9.6683
1.0059;23.4105;9.6552
1.0149;23.4087;9.653
1.0149;23.4069;9.6668
1.0598;23.404;9.6966
1.0778;23.4034;9.6873
1.0868;23.4034;9.6634
1.0868;23.4016;9.6695
1.1227;23.3999;9.679
1.1406;23.4005;9.6624
1.1496;23.4005;9.6545
1.1676;23.3952;9.6679
1.1855;23.394;9.6671
1.2035;23.3851;9.6588
1.2484;23.3781;9.6792
1.2574;23.3698;9.6713
1.2664;23.368;9.6655
1.2933;23.3633;9.6633
1.3203;23.358;9.6669
1.3023;23.3539;9.6534
1.3023;23.3533;9.6377
1.3292;23.3486;9.6401
1.3562;23.3462;9.6413
1.3562;23.3415;9.6373
1.3562;23.3333;9.6297
1.4011;23.3203;9.6241
1.4101;23.3138;9.6159
1.4101;23.295;9.6153
1.428;23.2802;9.6123
1.437;23.2708;9.6011
1.464;23.2637;9.5985
1.4819;23.2561;9.601
1.4909;23.2555;9.5983
1.5089;23.2543;9.5924
1.5268;23.2531;9.5862
1.5448;23.2478;9.592
1.5538;23.2466;9.5879
1.5538;23.2454;9.5822
1.5897;23.2419;9.5834
1.6166;23.2372;9.5832
1.6256;23.2354;9.5797
1.6615;23.2354;9.579
1.6705;23.2295;9.5821
1.6795;23.2242;9.5848
1.6795;23.2231;9.5853
1.7154;23.2166;9.5898
1.7334;23.216;9.5922
1.7334;23.213;9.593
1.7603;23.2124;9.5923
1.7693;23.2018;9.5986
1.7873;23.1983;9.6044
1.7783;23.1965;9.6088
1.7962;23.193;9.6163
1.8142;23.1895;9.6364
1.8232;23.1906;9.6315
1.8501;23.1883;9.6292
1.895;23.1889;9.6311
1.922;23.1889;9.6326
1.9489;23.1895;9.633
1.9579;23.1889;9.6339
2.0028;23.1865;9.6423
2.0477;23.1847;9.6474
2.0656;23.1853;9.6453
2.0656;23.1865;9.6423
2.0926;23.1853;9.644
2.1105;23.1818;9.648
2.1195;23.1794;9.6497
2.1195;23.1765;9.6507
2.1465;23.1777;9.6495
2.1644;23.1788;9.6511
2.1824;23.1783;9.6496
2.1824;23.1771;9.6481
