depth_m;temp_C;DO_mgL
0;14.5081;11.3159
0.018;14.5075;11.3222
0.0269;14.5175;11.3383
0.0359;14.4886;11.2574
0.0449;14.4869;11.2572
0.0449;14.4857;11.2569
0.0718;14.4827;11.2588
0.0988;14.4539;11.2659
0.0898;14.4627;11.2631
0.1078;14.4633;11.2642
0.1257;14.458;11.268
0.1437;14.448;11.2744
0.1527;14.4279;11.2839
0.1617;14.4226;11.2947
0.1796;14.4138;11.3017
0.1886;14.3548;11.3209
0.2155;14.3206;11.3291
0.2425;14.3153;11.3292
0.2515;14.3124;11.3302
0.2515;14.3124;11.3329
0.2694;14.3124;11.3348
0.2784;14.3159;11.3367
0.2784;14.3142;11.3438
0.3323;14.3089;11.3476
0.3233;14.3041;11.3503
0.3233;14.3077;11.3516
0.3233;14.3041;11.3543
0.3233;14.3012;11.3559
0.3592;14.2871;11.3607
0.3772;14.2529;11.3701
0.3862;14.2411;11.3731
0.3952;14.2104;11.3844
0.4221;14.2069;11.3862
0.4311;14.1975;11.3892
0.4401;14.1927;11.3891
0.4401;14.1933;11.389
0.458;14.191;11.3896
0.485;14.1898;11.3883
0.476;14.1839;11.3892
0.476;14.1857;11.3887
0.485;14.1857;11.389
0.5029;14.1857;11.389
0.5478;14.1851;11.3892
0.5568;14.1839;11.3901
0.5478;14.1833;11.3906
0.5568;14.1857;11.3906
0.5658;14.1845;11.3903
0.5658;14.178;11.3916
0.5748;14.1745;11.3915
0.5838;14.1709;11.3915
0.5838;14.1709;11.3909
0.6017;14.1674;11.3899
0.6287;14.158;11.3929
0.6376;14.1421;11.3987
0.6287;14.1385;11.4021
0.6556;14.1368;11.4053
0.6556;14.1397;11.4082
0.6646;14.1421;11.411
0.6736;14.1426;11.4146
0.7095;14.1403;11.4176
0.7275;14.1362;11.4211
0.7275;14.135;11.4235
0.7095;14.1344;11.4246
0.7275;14.1202;11.4291
0.7364;14.1167;11.4309
0.7724;14.1002;11.4357
0.7724;14.0914;11.4379
0.7813;14.0931;11.4377
0.8083;14.0925;11.4379
0.8352;14.0943;11.4384
0.8442;14.0878;11.4409
0.8711;14.0825;11.4435
0.8442;14.0813;11.4459
0.8711;14.0784;11.4485
0.8801;14.0778;11.4502
0.9071;14.0755;11.4526
0.8891;14.0755;11.4545
0.9161;14.0755;11.456
0.9161;14.0696;11.4578
0.934;14.0536;11.4618
0.943;14.046;11.4641
0.952;14.0366;11.4668
0.961;14.0348;11.4666
0.9789;14.0336;11.4681
1.0059;14.0289;11.4696
1.0238;14.023;11.4686
1.0418;14.0224;11.4654
1.0597;14.0177;11.4629
1.0687;14.0153;11.4607
1.0687;14.0071;11.46
1.0957;13.9994;11.4586
1.0957;13.9947;11.4573
1.1495;13.9894;11.4562
1.1495;13.9882;11.454
1.1675;13.9859;11.4534
1.1855;13.9853;11.4523
1.1855;13.9847;11.4518
1.1855;13.9853;11.4508
1.2214;13.9829;11.4504
1.2124;13.9829;11.4507
1.2304;13.9847;11.4506
1.2573;13.9847;11.45
1.2753;13.9823;11.4493
1.2663;13.9823;11.449
1.2753;13.9823;11.449
1.3022;13.9829;11.448
1.3022;13.9835;11.4466
1.3292;13.9817;11.4449
1.3202;13.9817;11.4433
1.3471;13.9829;11.4409
1.3741;13.9782;11.4396
1.3741;13.9729;11.4403
1.3651;13.9723;11.4399
1.383;13.9711;11.4395
1.383;13.9694;11.4394
1.392;13.9688;11.4386
1.401;13.9694;11.4363
1.419;13.9688;11.4361
1.4369;13.9682;11.4353
1.4459;13.9646;11.4353
1.4549;13.9629;11.4351
1.4639;13.9611;11.4337
1.4818;13.9582;11.4339
1.4908;13.957;11.4335
1.5267;13.9564;11.4328
1.5177;13.954;11.4327
1.5357;13.9529;11.4327
1.5626;13.9452;11.434
1.5716;13.9428;11.4346
1.5626;13.9393;11.4346
1.5986;13.9352;11.4353
1.6075;13.9299;11.437
1.5986;13.924;11.4391
1.6165;13.9151;11.4422
1.6345;13.9075;11.4454
1.6345;13.8957;11.4493
1.6524;13.8868;11.4531
1.6884;13.8756;11.4572
1.6794;13.8727;11.4616
1.6794;13.8656;11.4674
1.7153;13.8591;11.474
1.7602;13.8538;11.4803
1.7782;13.8474;11.4878
1.7871;13.8415;11.4955
1.7871;13.8362;11.5039
1.7871;13.8344;11.5131
1.7871;13.8297;11.5232
1.7961;13.8279;11.5333
1.8231;13.8197;11.5443
1.85;13.8132;11.554
1.859;13.8126;11.5604
1.859;13.8079;11.5662
1.868;13.7996;11.5736
1.9129;13.7849;11.5817
1.9308;13.7601;11.5917
1.9398;13.7495;11.5988
1.9667;13.7377;11.6074
1.9667;13.7047;11.6202
1.9937;13.6876;11.6292
2.0206;13.6599;11.6407
2.0476;13.6517;11.6481
2.0476;13.6204;11.663
2.0296;13.5491;11.6881
2.0565;13.542;11.6973
2.0835;13.5291;11.7088
2.0745;13.5155;11.7235
2.1194;13.4984;11.7405
2.1733;13.4837;11.754
2.1643;13.4813;11.7655
2.1823;13.4831;11.7769
2.2002;13.4778;11.7898
2.2002;13.4648;11.8066
2.2092;13.4554;11.8209
2.2182;13.4483;11.8328
2.2272;13.4501;11.8522
2.2451;13.4483;11.8686
2.2631;13.443;11.8822
2.2631;13.4401;11.8936
2.2721;13.4383;11.9037
2.299;13.4324;11.9165
2.308;13.4283;11.9301
2.3349;13.4306;11.9403
2.3529;13.4271;11.9513
2.3619;13.4277;11.9611
2.3349;13.4301;11.9692
2.3529;13.4289;11.9754
2.3888;13.4242;11.9817
2.3708;13.4247;11.9834
2.3798;13.42;11.9875
2.3978;13.4177;11.9918
2.4068;13.4165;12.0059
2.4068;13.4141;12.0134
2.4157;13.413;12.0246
2.4427;13.4118;12.0318
2.4517;13.4141;12.0355
2.4786;13.4029;12.0448
2.4876;13.3906;12.0581
2.5055;13.3906;12.0634
2.5235;13.3022;12.0903
2.5325;13.2426;12.1079
2.5953;13.0888;12.1465
2.6223;13.0004;12.1649
2.6133;12.9397;12.1912
2.6313;12.909;12.1835
2.6492;12.8807;12.1792
2.6762;12.8277;12.1897
2.6941;12.7929;12.196
2.7031;12.7705;12.2022
2.73;12.764;12.2052
2.7211;12.7664;12.2096
2.748;12.7181;12.2334
2.757;12.6656;12.2583
2.7749;12.6302;12.2747
2.7839;12.6326;12.2862
2.7929;12.6367;12.298
2.8019;12.6285;12.3162
2.8198;12.6002;12.338
2.8198;12.5748;12.3566
2.8378;12.5554;12.3744
2.8557;12.5194;12.3981
2.8917;12.4139;12.4408
2.9186;12.3532;12.4656
2.9186;12.2937;12.492
2.9545;12.2395;12.5202
2.9635;12.2064;12.5341
2.9904;12.1351;12.556
3.0084;12.0597;12.5773
3.0264;11.976;12.6
3.0712;11.9229;12.6178
3.0712;11.9053;12.6271
3.0712;11.9017;12.6343
3.0892;11.8941;12.6475
3.0982;11.8728;12.6633
3.1072;11.8463;12.6836
3.161;11.8115;12.7063
3.179;11.7998;12.7275
3.17;11.7874;12.7489
3.197;11.7467;12.777
3.2149;11.6878;12.7985
3.2239;11.6683;12.8123
3.2239;11.6618;12.8207
3.2329;11.6459;12.8344
3.2508;11.6259;12.8517
3.2419;11.6141;12.8649
3.2598;11.6147;12.8817
3.2868;11.6088;12.8984
3.3047;11.5976;12.9118
3.3227;11.5882;12.9159
3.3227;11.577;12.9211
3.3316;11.5717;12.9256
3.3406;11.5575;12.9262
3.3406;11.5339;12.9388
3.3406;11.5145;12.9501
3.3855;11.4656;12.9689
3.4125;11.4066;12.9917
3.4214;11.3754;13.0001
3.4304;11.363;12.9999
3.4394;11.3223;13.0154
3.4663;11.2557;13.0419
3.4933;11.2215;13.0542
3.4843;11.1915;13.0718
3.4843;11.1826;13.0797
3.5112;11.1555;13.0987
3.5382;11.1155;13.1198
3.5471;11.0931;13.1328
3.5382;11.083;13.1441
3.5292;11.0766;13.1526
3.5741;11.0471;13.1768
3.61;11.007;13.1946
3.619;10.9817;13.2106
3.628;10.9663;13.2232
3.628;10.9563;13.2323
3.6549;10.9321;13.2512
3.6639;10.9044;13.2627
3.6639;10.8856;13.2745
3.6549;10.8803;13.2791
3.6549;10.8791;13.2824
3.6818;10.8744;13.2981
3.6998;10.839;13.3143
3.7088;10.8213;13.3145
3.7088;10.8166;13.317
3.7267;10.8101;13.3326
3.7177;10.796;13.3479
3.7537;10.7577;13.3721
3.7806;10.7158;13.3781
3.7716;10.7005;13.3706
3.7806;10.687;13.3825
3.7537;10.6763;13.3948
3.7716;10.6669;13.3977
3.8165;10.6357;13.4085
3.8524;10.5791;13.4195
3.8614;10.5537;13.4195
3.8704;10.5396;13.4236
